Date,Cryptofolio_Index,Bitcoin_Index
14-08-2016,1000,585.59
15-08-2016,986.2174145,570.49
16-08-2016,988.1885597,567.24
17-08-2016,984.680837,577.76
18-08-2016,988.6461227,573.71
19-08-2016,994.5358156,574.34
20-08-2016,994.3447191,576.08
21-08-2016,996.2879899,581.94
22-08-2016,1008.039536,581.31
23-08-2016,994.2509472,586.77
24-08-2016,980.7199351,583.41
25-08-2016,958.6518392,580.18
26-08-2016,959.6954731,577.75
27-08-2016,951.0682671,579.45
28-08-2016,996.1405958,569.83
29-08-2016,1012.168005,574.07
30-08-2016,1000.492338,574.11
31-08-2016,995.2826896,577.59
01-09-2016,989.6394238,575.55
02-09-2016,1015.35429,572.41
03-09-2016,1012.535136,575.55
04-09-2016,1055.395433,598.59
05-09-2016,1066.539181,608.99
06-09-2016,1045.032534,606.51
07-09-2016,1039.308394,610.57
08-09-2016,1044.521402,614.63
09-09-2016,1042.482948,626.35
10-09-2016,1052.125068,622.93
11-09-2016,1007.516229,623.42
12-09-2016,1015.451731,607
13-09-2016,1025.112493,608.02
14-09-2016,1024.446782,608.84
15-09-2016,1042.099712,610.59
16-09-2016,1022.256107,607.25
17-09-2016,1025.552826,607.22
18-09-2016,1019.776102,606.28
19-09-2016,1032.049037,609.87
20-09-2016,1044.489905,609.25
21-09-2016,1017.519049,603.59
22-09-2016,1013.129085,597.28
23-09-2016,1024.554598,596.2
24-09-2016,1028.27933,602.96
25-09-2016,1033.087796,602.75
26-09-2016,1015.601989,600.81
27-09-2016,1021.855727,608.02
28-09-2016,1035.486137,606.24
29-09-2016,1018.647325,605.02
30-09-2016,1021.977097,605.72
01-10-2016,980.00338,609.93
02-10-2016,988.8095089,613.95
03-10-2016,984.353993,610.97
04-10-2016,974.6607354,612.05
05-10-2016,956.8795267,610.22
06-10-2016,956.8795267,612.47
07-10-2016,935.8028046,612.61
08-10-2016,933.2316653,617.34
09-10-2016,936.770659,619.17
10-10-2016,920.2084736,616.82
11-10-2016,918.8034333,619.24
12-10-2016,908.9151803,640.87
13-10-2016,913.1893726,636.03
14-10-2016,913.2497411,637.01
15-10-2016,900.5742818,640.31
16-10-2016,910.1464135,639.08
17-10-2016,889.2630826,641.82
18-10-2016,889.2630826,639.41
19-10-2016,883.3728772,638.13
20-10-2016,887.5760012,630.66
21-10-2016,893.5127345,630.83
22-10-2016,891.9130788,633.14
23-10-2016,890.22065,657.62
24-10-2016,885.5009385,657.16
25-10-2016,865.5343319,654
26-10-2016,865.5342973,657.68
27-10-2016,858.320687,678.21
28-10-2016,826.8705475,688
29-10-2016,794.5856746,690.29
30-10-2016,829.5296073,714.12
31-10-2016,814.3970125,702.64
01-11-2016,803.9034351,701.34
02-11-2016,808.0613642,730.07
03-11-2016,794.7529063,742.35
04-11-2016,815.4033861,689.12
05-11-2016,851.0630795,703.52
06-11-2016,841.4872717,703.81
07-11-2016,841.8702916,710.74
08-11-2016,842.1725423,703.09
09-11-2016,834.5726944,709.83
10-11-2016,834.9675543,722.84
11-11-2016,845.8471211,715.55
12-11-2016,847.5592231,716.75
13-11-2016,841.0965033,705.2
14-11-2016,841.6880755,702
15-11-2016,837.2131813,705.79
16-11-2016,819.9007748,711.17
17-11-2016,813.6108085,744.88
18-11-2016,805.2648632,740.71
19-11-2016,806.7801059,751.83
20-11-2016,795.8093607,751.88
21-11-2016,802.212495,731.26
22-11-2016,809.8516919,739.64
23-11-2016,803.9373089,751.74
24-11-2016,796.0002394,744.62
25-11-2016,797.2358007,740.44
26-11-2016,793.4065648,741.51
27-11-2016,800.8176121,735.44
28-11-2016,793.7967264,732.48
29-11-2016,777.5150136,736.33
30-11-2016,777.5149359,736.28
01-12-2016,769.4492488,746.05
02-12-2016,756.7056796,757.54
03-12-2016,760.965124,778.25
04-12-2016,749.3677328,771.64
05-12-2016,728.9328698,773.39
06-12-2016,745.8972087,758.72
07-12-2016,769.5057538,764.21
08-12-2016,766.5352846,768.08
09-12-2016,772.0891528,769.94
10-12-2016,764.1061013,773.02
11-12-2016,779.0295835,774.75
12-12-2016,780.2240199,770.04
13-12-2016,788.1349129,780.65
14-12-2016,790.7054238,780
15-12-2016,793.0472685,780.07
16-12-2016,805.420096,778.96
17-12-2016,791.0603472,785.17
18-12-2016,805.6485261,791.01
19-12-2016,820.0490261,790.69
20-12-2016,808.8490967,792.25
21-12-2016,807.1731993,800.64
22-12-2016,804.1568021,834.18
23-12-2016,819.965379,864.89
24-12-2016,828.0192169,922.18
25-12-2016,822.3997586,899.65
26-12-2016,829.317258,896.9
27-12-2016,850.726548,908.35
28-12-2016,875.4352833,934.83
29-12-2016,921.7988881,975.13
30-12-2016,933.6145296,972.53
31-12-2016,929.6182632,960.63
01-01-2017,937.8595505,963.66
02-01-2017,973.864776,998.62
03-01-2017,1007.101339,1021.6
04-01-2017,1134.193359,1044.4
05-01-2017,1031.653494,1156.73
06-01-2017,951.892098,1014.24
07-01-2017,941.5014024,903.49
08-01-2017,950.4553663,908.17
09-01-2017,952.6728612,913.24
10-01-2017,969.4351331,902.44
11-01-2017,855.4876153,908.12
12-01-2017,889.3852616,775.18
13-01-2017,893.1055303,803.74
14-01-2017,893.4372287,825.14
15-01-2017,897.5301982,818.14
16-01-2017,896.7677627,821.78
17-01-2017,948.5697749,830.95
18-01-2017,938.3782095,909.37
19-01-2017,951.8161414,888.34
20-01-2017,957.2155788,898.17
21-01-2017,978.2311759,895.55
22-01-2017,980.3689554,922.21
23-01-2017,992.7665183,925.5
24-01-2017,962.8067037,910.68
25-01-2017,965.8090281,891.92
26-01-2017,990.588268,902.39
27-01-2017,987.5047125,918.36
28-01-2017,1000.510005,919.81
29-01-2017,1011.152058,922.07
30-01-2017,1024.233433,920.15
31-01-2017,1033.456126,920.96
01-02-2017,1043.391835,970.94
02-02-2017,1056.800537,990
03-02-2017,1072.67261,1011.46
04-02-2017,1084.273984,1031.33
05-02-2017,1072.611269,1043.52
06-02-2017,1087.700178,1028.4
07-02-2017,1096.538132,1040.14
08-02-2017,1095.229481,1062.32
09-02-2017,1031.201885,1064.7
