Coin_name,Holding Percentage,Value (USD),Amount
bitcoin,0.1,100,0.175294056
ethereum,0.1,100,8.936550492
ripple,0.1,100,16683.35002
litecoin,0.1,100,27.39726027
ethereum_classic,0.1,100,51.8134715
steem,0.1,100,68.02721088
dash,0.0831639,83.1639,5.74336326
nem,0.0575499,57.5499,8863.375943
maidsafecoin,0.04514348,45.14348,417.384567
nxt,0.02829729,28.29729,959.9460615
lisk,0.02506257,25.06257,104.7880204
dogecoin,0.02455357,24.55357,100218.6531
monero,0.02442005,24.42005,12.14927861
digixdao,0.02064606,20.64606,2.070818455
factom,0.01827148,18.27148,8.381412844
waves,0.01728599,17.28599,99.67127948
bitshares,0.01266364,12.66364,2543.410323
stellar,0.01123358,11.23358,5602.783042
siacoin,0.00873653,8.73653,17265.86957
gamecredits,0.00558177,5.58177,57.74762565
syscoin,0.00417048,4.17048,435.5137845
decred,0.00410158,4.10158,2.500963415
bitcoindark,0.00282112,2.82112,1.337023697
digibyte,0.00210931,2.10931,7102.053872
stratis,0.00137433,1.37433,57.35934891
nav_coin,0.00090381,0.90381,63.62170914
blocknet,0.00078132,0.78132,4.035931422
vertcoin,0.00076421,0.76421,23.47442789
verge,0.0002142,0.2142,12600
pivx,0.00014983,0.14983,45.19758673
